### level1 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.682 0.526 0.564 0.263
0.681 0.533 0.563 0.254
0.677 0.573 0.565 0.226
0.676 0.548 0.566 0.233
0.664 0.527 0.563 0.238
0.682 0.552 0.568 0.255
0.655 0.529 0.549 0.229
0.677 0.543 0.554 0.242
0.678 0.556 0.554 0.238
0.671 0.525 0.556 0.249

### level2 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.574 0.419 0.490 0.142
0.586 0.412 0.498 0.149
0.581 0.396 0.498 0.164
0.574 0.406 0.483 0.123
0.559 0.361 0.475 0.149
0.567 0.401 0.488 0.156
0.575 0.380 0.499 0.169
0.580 0.404 0.496 0.160
0.576 0.410 0.492 0.148
0.579 0.413 0.491 0.137

### level3 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.527 0.300 0.471 0.151
0.525 0.319 0.461 0.156
0.515 0.327 0.444 0.134
0.533 0.308 0.465 0.149
0.525 0.315 0.459 0.149
0.514 0.305 0.449 0.151
0.528 0.325 0.456 0.170
0.531 0.323 0.459 0.135
0.531 0.302 0.454 0.140
0.520 0.309 0.446 0.170
