### yeast_deepNF_MDA_arch_2_final_res.h5

### level1 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.72279 0.59778 0.58266 0.30484
0.71894 0.56497 0.58880 0.28571
0.72876 0.59418 0.58047 0.31946
0.71117 0.57794 0.58234 0.26772
0.71889 0.58067 0.57913 0.29021
0.70344 0.56570 0.57283 0.32508
0.70422 0.57461 0.57471 0.29134
0.71141 0.59326 0.57149 0.28234
0.71681 0.58732 0.58134 0.29134
0.72306 0.58850 0.58708 0.28121

### level2 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.65749 0.47821 0.55079 0.22686
0.63548 0.43883 0.52016 0.20880
0.63235 0.44759 0.52747 0.20880
0.64640 0.48279 0.52772 0.20090
0.62802 0.46617 0.52370 0.19865
0.61309 0.45862 0.49666 0.19865
0.63690 0.45170 0.53079 0.22799
0.64419 0.46167 0.53390 0.21445
0.63366 0.46843 0.52642 0.18736
0.61380 0.46700 0.51336 0.19639

### level3 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.59938 0.37573 0.49782 0.22755
0.60204 0.36962 0.50114 0.23616
0.58867 0.34616 0.48688 0.23001
0.60057 0.35690 0.49375 0.25338
0.59981 0.37063 0.49723 0.23247
0.59199 0.37196 0.49793 0.21525
0.60283 0.38919 0.50448 0.22509
0.59751 0.37776 0.50104 0.23616
0.58747 0.36150 0.49309 0.22755
0.59006 0.35096 0.49523 0.20910

