### yeast_deepNF_MDA_arch_2_final_res.h5

### level1 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.63156 0.48209 0.53913 0.22947
0.64327 0.49442 0.52536 0.22610
0.62838 0.49996 0.52185 0.21935
0.62464 0.49350 0.52559 0.22497
0.61082 0.47781 0.51473 0.21035
0.63411 0.49456 0.53278 0.19910
0.63588 0.48902 0.53339 0.20022
0.64065 0.49910 0.53195 0.21260
0.62889 0.47985 0.52662 0.19460
0.63790 0.49990 0.53311 0.21935

### level2 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.52851 0.36577 0.45159 0.12980
0.51714 0.36896 0.44496 0.12980
0.54345 0.36638 0.46808 0.12867
0.54147 0.38049 0.46785 0.11287
0.51907 0.35404 0.44903 0.12528
0.50686 0.35380 0.43719 0.12302
0.53602 0.36093 0.45474 0.11964
0.49930 0.33551 0.43100 0.11174
0.51869 0.35838 0.44614 0.11287
0.50107 0.36046 0.44649 0.10497

### level3 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.45015 0.26171 0.38976 0.13653
0.49511 0.28863 0.42451 0.11931
0.46057 0.24705 0.41502 0.11562
0.49097 0.28242 0.42039 0.12423
0.47474 0.27627 0.41717 0.19680
0.46442 0.24945 0.41725 0.12300
0.48525 0.28678 0.42001 0.11685
0.47431 0.28428 0.41762 0.11808
0.48755 0.28150 0.42542 0.10578
0.46917 0.27407 0.41386 0.11316
