### yeast

Number of trainable parameters: 9.93 millions
### level1 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.63905 0.53571 0.54450 0.25084
0.68212 0.52396 0.56611 0.25647
0.65520 0.52092 0.55019 0.22272
0.66978 0.53135 0.55495 0.23847
0.64717 0.50332 0.54668 0.24072
0.66070 0.51792 0.55918 0.22047
0.68179 0.53735 0.56364 0.25197
0.65526 0.52540 0.55435 0.20247
0.63470 0.49867 0.53905 0.23510
0.66671 0.50742 0.55819 0.25309

### level2 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.54698 0.38941 0.46849 0.10609
0.54833 0.39913 0.47724 0.12754
0.55302 0.38091 0.47646 0.11400
0.56641 0.39215 0.49026 0.13093
0.56224 0.38496 0.48910 0.14898
0.57878 0.39337 0.49608 0.11964
0.57387 0.40260 0.48922 0.13883
0.54537 0.36095 0.46885 0.10948
0.56282 0.40234 0.48505 0.11738
0.55906 0.35964 0.49230 0.15237

### level3 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.50547 0.27715 0.43703 0.16359
0.49546 0.29502 0.43428 0.15006
0.53526 0.28801 0.44895 0.16236
0.50718 0.29191 0.43349 0.15129
0.51069 0.29271 0.44906 0.14637
0.49885 0.27531 0.42605 0.12915
0.52431 0.30212 0.45654 0.15252
0.52669 0.33190 0.45696 0.15498
0.53937 0.31035 0.45428 0.14514
0.51020 0.29991 0.44932 0.16359
