### yeast

### level1 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.67358 0.51913 0.55507 0.26659
0.68893 0.55912 0.56392 0.27784
0.69291 0.54151 0.57415 0.24972
0.68921 0.56324 0.55424 0.26547
0.67707 0.53416 0.55980 0.26434
0.69147 0.55482 0.56137 0.26997
0.69069 0.55571 0.56656 0.23735
0.69942 0.55378 0.57606 0.26772
0.66225 0.51507 0.55055 0.24522
0.68031 0.54046 0.55943 0.26097

### level2 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.58170 0.39865 0.48576 0.18623
0.59344 0.40732 0.49797 0.18172
0.59331 0.41817 0.50732 0.19865
0.59067 0.41164 0.50550 0.21670
0.57674 0.41224 0.49745 0.19639
0.59993 0.44709 0.49425 0.19865
0.58119 0.42708 0.48812 0.19074
0.58895 0.38337 0.49677 0.19187
0.57617 0.40273 0.48541 0.17607
0.56231 0.39936 0.47075 0.20316

### level3 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.53119 0.31158 0.45154 0.13284
0.54283 0.31907 0.45571 0.22755
0.53644 0.32008 0.45928 0.21156
0.53860 0.30639 0.46161 0.20664
0.55409 0.32786 0.47610 0.23370
0.57135 0.32913 0.48339 0.25092
0.54435 0.32353 0.46540 0.21894
0.56426 0.35603 0.46637 0.23493
0.53856 0.33422 0.45886 0.22509
0.53886 0.33157 0.45501 0.22263
